method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-100k,1,0.0,1.0442,37.3
"Ours (numpy, r x lambda)",ml-100k,1,0.0005,1.0442,37.5
"Ours (numpy, r x lambda)",ml-100k,1,0.001,1.0442,37.3
"Ours (numpy, r x lambda)",ml-100k,1,0.0001,1.0442,43.0
"Ours (numpy, r x lambda)",ml-100k,1,0.005,1.0443,37.1
"Ours (numpy, r x lambda)",ml-100k,1,0.01,1.0443,36.7
"Ours (numpy, r x lambda)",ml-100k,1,0.02,1.0444,37.0
"Ours (numpy, r x lambda)",ml-100k,1,0.03,1.0445,42.3
"Ours (numpy, r x lambda)",ml-100k,1,0.04,1.0445,36.6
"Ours (numpy, r x lambda)",ml-100k,1,0.045,1.0445,36.3
"Ours (numpy, r x lambda)",ml-100k,1,0.05,1.0445,36.1
"Ours (numpy, r x lambda)",ml-100k,1,0.06,1.0444,41.8
"Ours (numpy, r x lambda)",ml-100k,1,0.07,1.0442,36.8
"Ours (numpy, r x lambda)",ml-100k,1,0.08,1.0439,36.5
"Ours (numpy, r x lambda)",ml-100k,1,0.09,1.0435,36.4
"Ours (numpy, r x lambda)",ml-100k,1,0.1,1.0428,41.2
"Ours (numpy, r x lambda)",ml-100k,1,0.12,1.0406,36.0
"Ours (numpy, r x lambda)",ml-100k,1,0.15,1.0353,35.8
"Ours (numpy, r x lambda)",ml-100k,1,0.2,1.0224,35.9
"Ours (numpy, r x lambda)",ml-100k,1,0.3,0.9917,42.5
"Ours (numpy, r x lambda)",ml-100k,1,0.4,0.9657,36.9
"Ours (numpy, r x lambda)",ml-100k,1,0.5,0.9542,36.7
"Ours (numpy, r x lambda)",ml-100k,1,0.6,0.951,36.4
"Ours (numpy, r x lambda)",ml-100k,1,0.7,nan,40.8
"Ours (numpy, r x lambda)",ml-100k,1,0.8,nan,35.5
"Ours (numpy, r x lambda)",ml-100k,1,0.9,nan,35.2
"Ours (numpy, r x lambda)",ml-100k,1,1.0,nan,35.2
"Ours (numpy, r x lambda)",ml-100k,1,1.6,nan,35.5
"Ours (numpy, r x lambda)",ml-100k,1,1.4,0.9454,35.8
"Ours (numpy, r x lambda)",ml-100k,1,1.8,0.9451,35.3
"Ours (numpy, r x lambda)",ml-100k,1,1.2,0.9459,40.9
"Ours (numpy, r x lambda)",ml-100k,2,0.0001,1.0401,28.3
"Ours (numpy, r x lambda)",ml-100k,2,0.0,1.0401,28.5
"Ours (numpy, r x lambda)",ml-100k,2,0.0005,1.04,28.4
"Ours (numpy, r x lambda)",ml-100k,1,2.0,nan,35.3
"Ours (numpy, r x lambda)",ml-100k,2,0.001,1.04,28.3
"Ours (numpy, r x lambda)",ml-100k,2,0.005,1.0398,28.6
"Ours (numpy, r x lambda)",ml-100k,2,0.01,1.0394,28.4
"Ours (numpy, r x lambda)",ml-100k,2,0.02,1.0385,28.5
"Ours (numpy, r x lambda)",ml-100k,2,0.03,1.0373,28.7
"Ours (numpy, r x lambda)",ml-100k,2,0.04,1.0357,28.8
"Ours (numpy, r x lambda)",ml-100k,2,0.045,1.0348,28.6
"Ours (numpy, r x lambda)",ml-100k,2,0.05,1.0337,28.8
"Ours (numpy, r x lambda)",ml-100k,2,0.06,1.0313,28.1
"Ours (numpy, r x lambda)",ml-100k,2,0.07,1.0284,28.4
"Ours (numpy, r x lambda)",ml-100k,2,0.08,1.0251,28.1
"Ours (numpy, r x lambda)",ml-100k,2,0.09,1.0213,28.0
"Ours (numpy, r x lambda)",ml-100k,2,0.1,1.0172,27.6
"Ours (numpy, r x lambda)",ml-100k,2,0.12,1.0081,27.8
"Ours (numpy, r x lambda)",ml-100k,2,0.15,0.9938,27.6
"Ours (numpy, r x lambda)",ml-100k,2,0.2,0.9716,27.6
"Ours (numpy, r x lambda)",ml-100k,2,0.3,0.9413,27.5
"Ours (numpy, r x lambda)",ml-100k,2,0.4,0.9221,27.8
"Ours (numpy, r x lambda)",ml-100k,2,0.5,nan,27.6
"Ours (numpy, r x lambda)",ml-100k,2,0.6,nan,27.7
"Ours (numpy, r x lambda)",ml-100k,2,0.7,nan,27.5
"Ours (numpy, r x lambda)",ml-100k,2,0.9,nan,27.4
"Ours (numpy, r x lambda)",ml-100k,2,0.8,nan,27.7
"Ours (numpy, r x lambda)",ml-100k,2,1.0,nan,27.6
"Ours (numpy, r x lambda)",ml-100k,2,1.2,nan,28.8
"Ours (numpy, r x lambda)",ml-100k,2,1.4,nan,28.9
"Ours (numpy, r x lambda)",ml-100k,2,1.6,nan,29.0
"Ours (numpy, r x lambda)",ml-100k,2,1.8,nan,29.0
"Ours (numpy, r x lambda)",ml-100k,2,2.0,nan,28.3
"Ours (numpy, r x lambda)",ml-100k,3,0.0,1.0407,28.5
"Ours (numpy, r x lambda)",ml-100k,3,0.0001,1.0407,28.5
"Ours (numpy, r x lambda)",ml-100k,3,0.0005,1.0406,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.001,1.0406,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.005,1.0404,28.5
"Ours (numpy, r x lambda)",ml-100k,3,0.01,1.0401,28.6
"Ours (numpy, r x lambda)",ml-100k,3,0.02,1.0393,28.6
"Ours (numpy, r x lambda)",ml-100k,3,0.03,1.0382,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.04,1.0368,28.3
"Ours (numpy, r x lambda)",ml-100k,3,0.045,1.036,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.05,1.035,28.5
"Ours (numpy, r x lambda)",ml-100k,3,0.06,1.0327,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.07,1.0299,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.08,1.0266,28.5
"Ours (numpy, r x lambda)",ml-100k,3,0.09,1.0228,28.5
"Ours (numpy, r x lambda)",ml-100k,3,0.1,1.0185,28.2
"Ours (numpy, r x lambda)",ml-100k,3,0.12,1.0094,28.2
"Ours (numpy, r x lambda)",ml-100k,3,0.15,0.9961,28.3
"Ours (numpy, r x lambda)",ml-100k,3,0.2,0.9778,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.3,0.953,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.4,0.9376,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.5,nan,28.4
"Ours (numpy, r x lambda)",ml-100k,3,0.6,nan,28.1
"Ours (numpy, r x lambda)",ml-100k,3,0.7,nan,27.9
"Ours (numpy, r x lambda)",ml-100k,3,0.8,nan,27.9
"Ours (numpy, r x lambda)",ml-100k,3,0.9,nan,28.1
"Ours (numpy, r x lambda)",ml-100k,3,1.0,nan,28.3
"Ours (numpy, r x lambda)",ml-100k,3,1.2,nan,28.3
"Ours (numpy, r x lambda)",ml-100k,3,1.4,nan,28.3
"Ours (numpy, r x lambda)",ml-100k,3,1.6,nan,28.3
"Ours (numpy, r x lambda)",ml-100k,3,1.8,nan,28.0
"Ours (numpy, r x lambda)",ml-100k,3,2.0,nan,28.0
"Ours (numpy, r x lambda)",ml-100k,4,0.0,1.0404,27.9
"Ours (numpy, r x lambda)",ml-100k,4,0.0001,1.0404,28.1
"Ours (numpy, r x lambda)",ml-100k,4,0.0005,1.0404,27.9
"Ours (numpy, r x lambda)",ml-100k,4,0.001,1.0403,28.0
"Ours (numpy, r x lambda)",ml-100k,4,0.005,1.0401,28.0
"Ours (numpy, r x lambda)",ml-100k,4,0.01,1.0397,28.2
"Ours (numpy, r x lambda)",ml-100k,4,0.02,1.0388,28.3
"Ours (numpy, r x lambda)",ml-100k,4,0.03,1.0375,28.0
"Ours (numpy, r x lambda)",ml-100k,4,0.04,1.0358,28.0
"Ours (numpy, r x lambda)",ml-100k,4,0.045,1.0348,28.1
"Ours (numpy, r x lambda)",ml-100k,4,0.05,1.0337,28.2
"Ours (numpy, r x lambda)",ml-100k,4,0.06,1.0311,28.0
"Ours (numpy, r x lambda)",ml-100k,4,0.07,1.0279,27.9
"Ours (numpy, r x lambda)",ml-100k,4,0.08,1.0244,28.0
"Ours (numpy, r x lambda)",ml-100k,4,0.09,1.0204,28.0
"Ours (numpy, r x lambda)",ml-100k,4,0.1,1.0164,27.7
"Ours (numpy, r x lambda)",ml-100k,4,0.12,1.0083,27.7
"Ours (numpy, r x lambda)",ml-100k,4,0.15,0.9975,27.8
"Ours (numpy, r x lambda)",ml-100k,4,0.2,0.9841,27.7
"Ours (numpy, r x lambda)",ml-100k,4,0.3,nan,27.6
"Ours (numpy, r x lambda)",ml-100k,4,0.4,nan,27.6
"Ours (numpy, r x lambda)",ml-100k,4,0.5,nan,27.8
"Ours (numpy, r x lambda)",ml-100k,4,0.6,nan,27.8
"Ours (numpy, r x lambda)",ml-100k,4,0.7,nan,27.9
"Ours (numpy, r x lambda)",ml-100k,4,0.8,nan,27.9
"Ours (numpy, r x lambda)",ml-100k,4,0.9,nan,28.0
"Ours (numpy, r x lambda)",ml-100k,4,1.0,nan,28.0
"Ours (numpy, r x lambda)",ml-100k,4,1.2,nan,27.9
"Ours (numpy, r x lambda)",ml-100k,4,1.4,nan,27.8
"Ours (numpy, r x lambda)",ml-100k,4,1.6,nan,27.9
"Ours (numpy, r x lambda)",ml-100k,4,1.8,nan,27.9
"Ours (numpy, r x lambda)",ml-100k,4,2.0,nan,27.5
"Ours (numpy, r x lambda)",ml-100k,5,0.0,1.0369,27.5
"Ours (numpy, r x lambda)",ml-100k,5,0.0001,1.0369,27.7
"Ours (numpy, r x lambda)",ml-100k,5,0.0005,1.0369,27.7
"Ours (numpy, r x lambda)",ml-100k,5,0.001,1.0368,27.5
"Ours (numpy, r x lambda)",ml-100k,5,0.005,1.0363,27.6
"Ours (numpy, r x lambda)",ml-100k,5,0.01,1.0355,27.7
"Ours (numpy, r x lambda)",ml-100k,5,0.02,1.0335,27.9
"Ours (numpy, r x lambda)",ml-100k,5,0.03,1.031,27.7
"Ours (numpy, r x lambda)",ml-100k,5,0.04,1.0278,27.7
"Ours (numpy, r x lambda)",ml-100k,5,0.045,1.026,27.8
"Ours (numpy, r x lambda)",ml-100k,5,0.05,1.024,27.9
"Ours (numpy, r x lambda)",ml-100k,5,0.06,1.0198,28.2
"Ours (numpy, r x lambda)",ml-100k,5,0.07,1.0153,28.2
"Ours (numpy, r x lambda)",ml-100k,5,0.08,1.0108,28.3
"Ours (numpy, r x lambda)",ml-100k,5,0.09,1.0064,28.4
"Ours (numpy, r x lambda)",ml-100k,5,0.1,1.0022,28.3
"Ours (numpy, r x lambda)",ml-100k,5,0.12,0.9948,28.3
"Ours (numpy, r x lambda)",ml-100k,5,0.15,0.9858,28.2
"Ours (numpy, r x lambda)",ml-100k,5,0.2,0.9758,28.4
"Ours (numpy, r x lambda)",ml-100k,5,0.3,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,5,0.4,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,5,0.5,nan,28.7
"Ours (numpy, r x lambda)",ml-100k,5,0.6,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,5,0.7,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,5,0.8,nan,28.4
"Ours (numpy, r x lambda)",ml-100k,5,0.9,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,5,1.0,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,5,1.2,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,5,1.4,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,5,1.6,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,5,1.8,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,5,2.0,nan,28.2
"Ours (numpy, r x lambda)",ml-100k,10,0.0,1.0338,28.6
"Ours (numpy, r x lambda)",ml-100k,10,0.0001,1.0337,28.6
"Ours (numpy, r x lambda)",ml-100k,10,0.0005,1.0337,28.8
"Ours (numpy, r x lambda)",ml-100k,10,0.001,1.0336,28.8
"Ours (numpy, r x lambda)",ml-100k,10,0.005,1.0329,28.6
"Ours (numpy, r x lambda)",ml-100k,10,0.01,1.0319,28.7
"Ours (numpy, r x lambda)",ml-100k,10,0.02,1.0294,28.5
"Ours (numpy, r x lambda)",ml-100k,10,0.03,1.0263,28.2
"Ours (numpy, r x lambda)",ml-100k,10,0.04,1.0224,28.2
"Ours (numpy, r x lambda)",ml-100k,10,0.045,1.0203,28.3
"Ours (numpy, r x lambda)",ml-100k,10,0.05,1.0181,28.5
"Ours (numpy, r x lambda)",ml-100k,10,0.06,1.0133,28.7
"Ours (numpy, r x lambda)",ml-100k,10,0.07,1.0084,28.6
"Ours (numpy, r x lambda)",ml-100k,10,0.08,1.0035,28.7
"Ours (numpy, r x lambda)",ml-100k,10,0.09,0.9987,28.9
"Ours (numpy, r x lambda)",ml-100k,10,0.1,0.994,28.8
"Ours (numpy, r x lambda)",ml-100k,10,0.12,0.9857,28.8
"Ours (numpy, r x lambda)",ml-100k,10,0.15,0.9748,28.8
"Ours (numpy, r x lambda)",ml-100k,10,0.2,0.9633,28.8
"Ours (numpy, r x lambda)",ml-100k,10,0.3,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,10,0.4,nan,28.8
"Ours (numpy, r x lambda)",ml-100k,10,0.5,nan,28.8
"Ours (numpy, r x lambda)",ml-100k,10,0.6,nan,28.9
"Ours (numpy, r x lambda)",ml-100k,10,0.7,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,10,0.8,nan,28.4
"Ours (numpy, r x lambda)",ml-100k,10,0.9,nan,28.3
"Ours (numpy, r x lambda)",ml-100k,10,1.0,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,10,1.2,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,10,1.4,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,10,1.6,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,10,1.8,nan,28.9
"Ours (numpy, r x lambda)",ml-100k,10,2.0,nan,28.7
"Ours (numpy, r x lambda)",ml-100k,20,0.0,1.0374,28.8
"Ours (numpy, r x lambda)",ml-100k,20,0.0001,1.0374,28.8
"Ours (numpy, r x lambda)",ml-100k,20,0.0005,1.0373,29.0
"Ours (numpy, r x lambda)",ml-100k,20,0.001,1.0373,29.3
"Ours (numpy, r x lambda)",ml-100k,20,0.005,1.0367,29.3
"Ours (numpy, r x lambda)",ml-100k,20,0.01,1.0358,29.3
"Ours (numpy, r x lambda)",ml-100k,20,0.02,1.0336,29.5
"Ours (numpy, r x lambda)",ml-100k,20,0.03,1.0306,28.7
"Ours (numpy, r x lambda)",ml-100k,20,0.04,1.0269,28.5
"Ours (numpy, r x lambda)",ml-100k,20,0.045,1.0248,28.5
"Ours (numpy, r x lambda)",ml-100k,20,0.05,1.0226,28.5
"Ours (numpy, r x lambda)",ml-100k,20,0.06,1.018,28.2
"Ours (numpy, r x lambda)",ml-100k,20,0.07,1.0132,28.2
"Ours (numpy, r x lambda)",ml-100k,20,0.08,1.0085,28.2
"Ours (numpy, r x lambda)",ml-100k,20,0.09,1.0039,28.3
"Ours (numpy, r x lambda)",ml-100k,20,0.1,0.9996,28.3
"Ours (numpy, r x lambda)",ml-100k,20,0.12,0.9922,28.2
"Ours (numpy, r x lambda)",ml-100k,20,0.15,0.9842,28.3
"Ours (numpy, r x lambda)",ml-100k,20,0.2,0.9762,28.7
"Ours (numpy, r x lambda)",ml-100k,20,0.3,0.9728,29.1
"Ours (numpy, r x lambda)",ml-100k,20,0.4,nan,29.0
"Ours (numpy, r x lambda)",ml-100k,20,0.5,nan,29.1
"Ours (numpy, r x lambda)",ml-100k,20,0.6,nan,29.1
"Ours (numpy, r x lambda)",ml-100k,20,0.7,nan,28.7
"Ours (numpy, r x lambda)",ml-100k,20,0.8,nan,28.7
"Ours (numpy, r x lambda)",ml-100k,20,0.9,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,20,1.0,nan,28.7
"Ours (numpy, r x lambda)",ml-100k,20,1.2,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,20,1.4,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,20,1.6,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,20,1.8,nan,28.8
"Ours (numpy, r x lambda)",ml-100k,20,2.0,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,50,0.0,1.0355,28.9
"Ours (numpy, r x lambda)",ml-100k,50,0.0001,1.0355,29.1
"Ours (numpy, r x lambda)",ml-100k,50,0.0005,1.0354,29.1
"Ours (numpy, r x lambda)",ml-100k,50,0.001,1.0353,29.0
"Ours (numpy, r x lambda)",ml-100k,50,0.005,1.0345,28.9
"Ours (numpy, r x lambda)",ml-100k,50,0.01,1.0333,29.1
"Ours (numpy, r x lambda)",ml-100k,50,0.02,1.0303,29.0
"Ours (numpy, r x lambda)",ml-100k,50,0.03,1.0263,28.6
"Ours (numpy, r x lambda)",ml-100k,50,0.04,1.0214,28.6
"Ours (numpy, r x lambda)",ml-100k,50,0.045,1.0188,28.8
"Ours (numpy, r x lambda)",ml-100k,50,0.05,1.0162,28.7
"Ours (numpy, r x lambda)",ml-100k,50,0.06,1.0109,28.5
"Ours (numpy, r x lambda)",ml-100k,50,0.07,1.0061,28.5
"Ours (numpy, r x lambda)",ml-100k,50,0.08,1.0018,28.7
"Ours (numpy, r x lambda)",ml-100k,50,0.09,0.9981,29.1
"Ours (numpy, r x lambda)",ml-100k,50,0.1,0.9947,29.3
"Ours (numpy, r x lambda)",ml-100k,50,0.12,0.99,29.3
"Ours (numpy, r x lambda)",ml-100k,50,0.15,0.9854,29.4
"Ours (numpy, r x lambda)",ml-100k,50,0.2,0.9826,29.2
"Ours (numpy, r x lambda)",ml-100k,50,0.3,nan,28.7
"Ours (numpy, r x lambda)",ml-100k,50,0.4,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,50,0.5,nan,28.7
"Ours (numpy, r x lambda)",ml-100k,50,0.6,nan,28.8
"Ours (numpy, r x lambda)",ml-100k,50,0.7,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,50,0.8,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,50,0.9,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,50,1.0,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,50,1.2,nan,28.4
"Ours (numpy, r x lambda)",ml-100k,50,1.4,nan,28.5
"Ours (numpy, r x lambda)",ml-100k,50,1.6,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,50,1.8,nan,28.7
"Ours (numpy, r x lambda)",ml-100k,50,2.0,nan,28.6
"Ours (numpy, r x lambda)",ml-100k,100,0.0,1.041,29.2
"Ours (numpy, r x lambda)",ml-100k,100,0.0001,1.041,29.4
"Ours (numpy, r x lambda)",ml-100k,100,0.0005,1.041,29.4
"Ours (numpy, r x lambda)",ml-100k,100,0.001,1.0409,29.1
"Ours (numpy, r x lambda)",ml-100k,100,0.005,1.0401,29.1
"Ours (numpy, r x lambda)",ml-100k,100,0.01,1.0389,29.4
"Ours (numpy, r x lambda)",ml-100k,100,0.02,1.0358,29.3
"Ours (numpy, r x lambda)",ml-100k,100,0.03,1.0317,29.1
"Ours (numpy, r x lambda)",ml-100k,100,0.04,1.0271,29.0
"Ours (numpy, r x lambda)",ml-100k,100,0.045,1.0246,29.3
"Ours (numpy, r x lambda)",ml-100k,100,0.05,1.0222,29.3
"Ours (numpy, r x lambda)",ml-100k,100,0.06,1.0177,29.0
"Ours (numpy, r x lambda)",ml-100k,100,0.07,1.0138,29.0
"Ours (numpy, r x lambda)",ml-100k,100,0.08,1.0106,29.4
"Ours (numpy, r x lambda)",ml-100k,100,0.09,1.008,29.3
"Ours (numpy, r x lambda)",ml-100k,100,0.1,1.0059,29.4
"Ours (numpy, r x lambda)",ml-100k,100,0.12,1.0032,29.5
"Ours (numpy, r x lambda)",ml-100k,100,0.15,1.0011,29.8
"Ours (numpy, r x lambda)",ml-100k,100,0.2,nan,29.8
"Ours (numpy, r x lambda)",ml-100k,100,0.3,nan,29.4
"Ours (numpy, r x lambda)",ml-100k,100,0.4,0.9989,29.3
"Ours (numpy, r x lambda)",ml-100k,100,0.5,nan,29.4
"Ours (numpy, r x lambda)",ml-100k,100,0.6,nan,29.9
"Ours (numpy, r x lambda)",ml-100k,100,0.7,nan,30.1
"Ours (numpy, r x lambda)",ml-100k,100,0.8,nan,30.1
"Ours (numpy, r x lambda)",ml-100k,100,0.9,nan,30.3
"Ours (numpy, r x lambda)",ml-100k,100,1.0,nan,29.9
"Ours (numpy, r x lambda)",ml-100k,100,1.2,nan,29.3
"Ours (numpy, r x lambda)",ml-100k,100,1.4,nan,29.3
"Ours (numpy, r x lambda)",ml-100k,100,1.6,nan,29.4
"Ours (numpy, r x lambda)",ml-100k,100,1.8,nan,29.2
"Ours (numpy, r x lambda)",ml-100k,100,2.0,nan,28.6
"Ours (numpy, r x lambda)",ml-1m,1,0.0,1.1172,329.4
"Ours (numpy, r x lambda)",ml-1m,1,0.0001,1.1172,335.1
"Ours (numpy, r x lambda)",ml-1m,1,0.0005,1.1172,330.4
"Ours (numpy, r x lambda)",ml-1m,1,0.001,1.1172,335.2
"Ours (numpy, r x lambda)",ml-1m,1,0.005,1.1171,329.9
"Ours (numpy, r x lambda)",ml-1m,1,0.01,1.1168,335.3
"Ours (numpy, r x lambda)",ml-1m,1,0.02,1.1156,330.6
"Ours (numpy, r x lambda)",ml-1m,1,0.03,1.1129,335.7
"Ours (numpy, r x lambda)",ml-1m,1,0.04,1.1068,330.2
"Ours (numpy, r x lambda)",ml-1m,1,0.045,1.1017,335.8
"Ours (numpy, r x lambda)",ml-1m,1,0.05,1.0948,330.4
"Ours (numpy, r x lambda)",ml-1m,1,0.06,1.077,335.7
"Ours (numpy, r x lambda)",ml-1m,1,0.07,1.0597,329.6
"Ours (numpy, r x lambda)",ml-1m,1,0.08,1.0466,335.3
"Ours (numpy, r x lambda)",ml-1m,1,0.09,1.0368,330.3
"Ours (numpy, r x lambda)",ml-1m,1,0.1,1.0294,335.3
"Ours (numpy, r x lambda)",ml-1m,1,0.12,1.0182,330.1
"Ours (numpy, r x lambda)",ml-1m,1,0.15,1.0061,335.6
"Ours (numpy, r x lambda)",ml-1m,1,0.2,0.9907,330.4
"Ours (numpy, r x lambda)",ml-1m,1,0.3,0.9719,335.3
"Ours (numpy, r x lambda)",ml-1m,1,0.4,0.9638,329.8
"Ours (numpy, r x lambda)",ml-1m,1,0.5,0.9602,335.7
"Ours (numpy, r x lambda)",ml-1m,1,0.6,0.9583,330.5
"Ours (numpy, r x lambda)",ml-1m,1,0.7,0.9571,335.8
"Ours (numpy, r x lambda)",ml-1m,1,0.8,0.9568,330.3
"Ours (numpy, r x lambda)",ml-1m,1,0.9,0.9573,335.5
"Ours (numpy, r x lambda)",ml-1m,1,1.0,0.9576,355.6
"Ours (numpy, r x lambda)",ml-1m,1,1.2,0.9579,350.4
"Ours (numpy, r x lambda)",ml-1m,1,1.4,0.9583,351.2
"Ours (numpy, r x lambda)",ml-1m,1,1.6,0.9587,346.3
"Ours (numpy, r x lambda)",ml-1m,1,1.8,0.9592,348.3
"Ours (numpy, r x lambda)",ml-1m,1,2.0,0.9597,348.7
"Ours (numpy, r x lambda)",ml-1m,2,0.0,1.1173,277.6
"Ours (numpy, r x lambda)",ml-1m,2,0.0001,1.1173,278.2
"Ours (numpy, r x lambda)",ml-1m,2,0.0005,1.1173,277.4
"Ours (numpy, r x lambda)",ml-1m,2,0.001,1.1173,278.4
"Ours (numpy, r x lambda)",ml-1m,2,0.005,1.1171,278.3
"Ours (numpy, r x lambda)",ml-1m,2,0.01,1.1169,277.6
"Ours (numpy, r x lambda)",ml-1m,2,0.02,1.1158,277.7
"Ours (numpy, r x lambda)",ml-1m,2,0.03,1.1133,277.8
"Ours (numpy, r x lambda)",ml-1m,2,0.04,1.1078,277.6
"Ours (numpy, r x lambda)",ml-1m,2,0.045,1.1031,275.9
"Ours (numpy, r x lambda)",ml-1m,2,0.05,1.0967,271.1
"Ours (numpy, r x lambda)",ml-1m,2,0.06,1.079,271.2
"Ours (numpy, r x lambda)",ml-1m,2,0.07,1.0602,275.1
"Ours (numpy, r x lambda)",ml-1m,2,0.08,1.0449,273.9
"Ours (numpy, r x lambda)",ml-1m,2,0.09,1.0325,273.2
"Ours (numpy, r x lambda)",ml-1m,2,0.1,1.0213,275.4
"Ours (numpy, r x lambda)",ml-1m,2,0.12,0.9983,273.6
"Ours (numpy, r x lambda)",ml-1m,2,0.15,0.9629,276.8
"Ours (numpy, r x lambda)",ml-1m,2,0.2,0.9287,278.0
"Ours (numpy, r x lambda)",ml-1m,2,0.3,0.9072,277.4
"Ours (numpy, r x lambda)",ml-1m,2,0.4,0.9014,280.5
"Ours (numpy, r x lambda)",ml-1m,2,0.5,0.8995,277.9
"Ours (numpy, r x lambda)",ml-1m,2,0.6,0.8988,274.8
"Ours (numpy, r x lambda)",ml-1m,2,0.7,0.8988,276.6
"Ours (numpy, r x lambda)",ml-1m,2,0.8,0.8991,278.6
"Ours (numpy, r x lambda)",ml-1m,2,0.9,0.8995,275.8
"Ours (numpy, r x lambda)",ml-1m,2,1.0,0.9,280.8
"Ours (numpy, r x lambda)",ml-1m,2,1.2,0.9004,281.0
"Ours (numpy, r x lambda)",ml-1m,2,1.4,0.9016,279.0
"Ours (numpy, r x lambda)",ml-1m,2,1.6,0.9022,279.4
"Ours (numpy, r x lambda)",ml-1m,2,1.8,0.9031,278.2
"Ours (numpy, r x lambda)",ml-1m,2,2.0,0.904,277.0
"Ours (numpy, r x lambda)",ml-1m,3,0.0,1.1167,279.3
"Ours (numpy, r x lambda)",ml-1m,3,0.0001,1.1167,265.8
"Ours (numpy, r x lambda)",ml-1m,3,0.0005,1.1166,263.7
"Ours (numpy, r x lambda)",ml-1m,3,0.001,1.1166,263.5
"Ours (numpy, r x lambda)",ml-1m,3,0.005,1.1163,266.0
"Ours (numpy, r x lambda)",ml-1m,3,0.01,1.1156,265.0
"Ours (numpy, r x lambda)",ml-1m,3,0.02,1.1128,264.7
"Ours (numpy, r x lambda)",ml-1m,3,0.03,1.1065,266.2
"Ours (numpy, r x lambda)",ml-1m,3,0.04,1.0937,267.8
"Ours (numpy, r x lambda)",ml-1m,3,0.045,1.0846,268.3
"Ours (numpy, r x lambda)",ml-1m,3,0.05,1.0747,276.7
"Ours (numpy, r x lambda)",ml-1m,3,0.06,1.057,271.7
"Ours (numpy, r x lambda)",ml-1m,3,0.07,1.0441,265.0
"Ours (numpy, r x lambda)",ml-1m,3,0.08,1.0346,263.6
"Ours (numpy, r x lambda)",ml-1m,3,0.09,1.027,263.3
"Ours (numpy, r x lambda)",ml-1m,3,0.1,1.0204,263.5
"Ours (numpy, r x lambda)",ml-1m,3,0.12,1.0074,263.4
"Ours (numpy, r x lambda)",ml-1m,3,0.15,0.9806,263.5
"Ours (numpy, r x lambda)",ml-1m,3,0.2,0.929,263.5
"Ours (numpy, r x lambda)",ml-1m,3,0.3,0.8944,263.5
"Ours (numpy, r x lambda)",ml-1m,3,0.4,0.8863,263.5
"Ours (numpy, r x lambda)",ml-1m,3,0.5,0.8836,263.5
"Ours (numpy, r x lambda)",ml-1m,3,0.6,0.8827,263.0
"Ours (numpy, r x lambda)",ml-1m,3,0.7,0.8825,263.2
"Ours (numpy, r x lambda)",ml-1m,3,0.8,0.8827,263.3
"Ours (numpy, r x lambda)",ml-1m,3,0.9,0.883,265.9
"Ours (numpy, r x lambda)",ml-1m,3,1.0,0.8835,267.4
"Ours (numpy, r x lambda)",ml-1m,3,1.2,0.8842,265.4
"Ours (numpy, r x lambda)",ml-1m,3,1.4,0.8852,273.4
"Ours (numpy, r x lambda)",ml-1m,3,1.6,0.8864,281.4
"Ours (numpy, r x lambda)",ml-1m,3,1.8,0.8878,282.0
