method,dataset,r,lam,val_rmse,seconds
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.48,1.1177,326.1
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.0,0.8981,280.8
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.001,0.8981,283.5
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.1,1.1177,275.7
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.01,0.8981,280.0
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.2,1.1177,280.8
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.5,1.1177,314.6
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.3,1.1177,281.1
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.42,1.1177,280.7
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.35,1.1177,282.9
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.4,1.1177,282.9
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.44,1.1177,281.5
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.46,1.1177,279.9
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.48,1.1177,276.3
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.0,0.8818,273.7
"Lasso MF (numpy, r x lambda)",ml-1m,2,0.5,1.1177,277.2
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.001,0.8817,283.3
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.01,0.8941,279.6
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.1,1.1177,276.7
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.2,1.1177,276.1
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.3,1.1177,273.9
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.35,1.1177,275.7
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.4,1.1177,276.8
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.42,1.1177,277.1
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.44,1.1177,277.1
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.46,1.1177,276.5
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.48,1.1177,275.5
"Lasso MF (numpy, r x lambda)",ml-1m,3,0.5,1.1177,274.1
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.0,0.879,277.3
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.001,0.8791,275.2
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.01,0.898,278.2
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.1,1.1177,280.9
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.3,1.1177,276.8
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.2,1.1177,280.7
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.35,1.1177,281.4
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.4,1.1177,280.6
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.42,1.1177,273.8
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.48,1.1177,277.6
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.46,1.1177,279.3
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.44,1.1177,281.2
"Lasso MF (numpy, r x lambda)",ml-1m,4,0.5,1.1177,277.8
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.0,0.8715,279.6
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.001,0.871,277.1
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.01,0.8902,278.6
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.1,1.1177,278.4
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.2,1.1177,281.5
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.3,1.1177,276.6
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.4,1.1177,281.4
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.35,1.1177,282.4
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.42,1.1177,279.4
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.46,1.1177,275.6
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.44,1.1177,280.6
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.48,1.1177,279.8
"Lasso MF (numpy, r x lambda)",ml-1m,5,0.5,1.1177,278.7
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.0,0.8792,285.4
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.1,1.1177,282.7
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.001,0.8777,284.6
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.01,0.8796,286.1
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.2,1.1177,284.1
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.3,1.1177,286.7
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.35,1.1177,287.8
