method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",amazon-games,4,0.1,1.1897,291.9
"Ours (numpy, r x lambda)",amazon-games,4,0.15,1.1897,287.8
"Ours (numpy, r x lambda)",amazon-games,4,0.2,1.1897,290.5
"Ours (numpy, r x lambda)",amazon-games,4,0.3,1.1896,286.7
"Ours (numpy, r x lambda)",amazon-games,4,0.4,1.1896,288.8
"Ours (numpy, r x lambda)",amazon-games,4,0.5,1.1896,287.1
"Ours (numpy, r x lambda)",amazon-games,4,0.6,1.1896,294.0
"Ours (numpy, r x lambda)",amazon-games,4,0.7,1.1896,289.8
"Ours (numpy, r x lambda)",amazon-games,4,0.9,1.1896,287.4
"Ours (numpy, r x lambda)",amazon-games,4,0.8,1.1896,290.9
"Ours (numpy, r x lambda)",amazon-games,4,1.0,1.1896,289.9
"Ours (numpy, r x lambda)",amazon-games,4,1.2,1.1896,287.4
"Ours (numpy, r x lambda)",amazon-games,4,1.4,1.1895,291.9
"Ours (numpy, r x lambda)",amazon-games,4,1.6,1.1895,290.3
"Ours (numpy, r x lambda)",amazon-games,4,1.8,1.1895,291.6
"Ours (numpy, r x lambda)",amazon-games,4,2.0,1.4946789723385251e+91,294.3
"Ours (numpy, r x lambda)",amazon-games,5,0.0,1.1899,292.2
"Ours (numpy, r x lambda)",amazon-games,5,0.0001,1.1899,285.6
"Ours (numpy, r x lambda)",amazon-games,5,0.0005,1.1899,291.2
"Ours (numpy, r x lambda)",amazon-games,5,0.001,1.1899,291.0
"Ours (numpy, r x lambda)",amazon-games,5,0.005,1.1899,292.0
"Ours (numpy, r x lambda)",amazon-games,5,0.01,1.1899,293.2
"Ours (numpy, r x lambda)",amazon-games,5,0.02,1.1899,287.1
"Ours (numpy, r x lambda)",amazon-games,5,0.03,1.1899,287.0
"Ours (numpy, r x lambda)",amazon-games,5,0.04,1.1899,293.3
"Ours (numpy, r x lambda)",amazon-games,5,0.045,1.1899,294.4
"Ours (numpy, r x lambda)",amazon-games,5,0.05,1.1899,291.5
"Ours (numpy, r x lambda)",amazon-games,5,0.06,1.1899,290.7
"Ours (numpy, r x lambda)",amazon-games,5,0.08,1.1899,286.9
"Ours (numpy, r x lambda)",amazon-games,5,0.07,1.1899,291.1
"Ours (numpy, r x lambda)",amazon-games,5,0.09,1.1899,290.7
"Ours (numpy, r x lambda)",amazon-games,5,0.1,1.1899,287.3
"Ours (numpy, r x lambda)",amazon-games,5,0.12,1.1899,287.1
"Ours (numpy, r x lambda)",amazon-games,5,0.15,1.1898,286.9
"Ours (numpy, r x lambda)",amazon-games,5,0.2,1.1898,285.5
"Ours (numpy, r x lambda)",amazon-games,5,0.3,1.1898,290.8
"Ours (numpy, r x lambda)",amazon-games,5,0.4,1.1898,290.6
"Ours (numpy, r x lambda)",amazon-games,5,0.5,1.1898,289.8
"Ours (numpy, r x lambda)",amazon-games,5,0.6,1.1897,289.3
"Ours (numpy, r x lambda)",amazon-games,5,0.7,1.1897,293.0
"Ours (numpy, r x lambda)",amazon-games,5,0.8,1.1897,284.8
"Ours (numpy, r x lambda)",amazon-games,5,0.9,1.1896,289.0
"Ours (numpy, r x lambda)",amazon-games,5,1.0,1.1896,287.3
"Ours (numpy, r x lambda)",amazon-games,5,1.2,1.1895,291.5
"Ours (numpy, r x lambda)",amazon-games,5,1.4,1.1894,286.7
"Ours (numpy, r x lambda)",amazon-games,5,1.6,1.1893,287.3
"Ours (numpy, r x lambda)",amazon-games,5,1.8,1.1892,291.6
"Ours (numpy, r x lambda)",amazon-games,5,2.0,1.1891,290.0
"Ours (numpy, r x lambda)",amazon-games,10,0.0,1.1896,293.7
"Ours (numpy, r x lambda)",amazon-games,10,0.0001,1.1896,292.1
"Ours (numpy, r x lambda)",amazon-games,10,0.0005,1.1896,289.5
"Ours (numpy, r x lambda)",amazon-games,10,0.001,1.1896,293.6
"Ours (numpy, r x lambda)",amazon-games,10,0.005,1.1896,291.9
"Ours (numpy, r x lambda)",amazon-games,10,0.01,1.1896,291.0
"Ours (numpy, r x lambda)",amazon-games,10,0.03,1.1896,288.6
"Ours (numpy, r x lambda)",amazon-games,10,0.02,1.1896,293.8
"Ours (numpy, r x lambda)",amazon-games,10,0.04,1.1896,293.3
"Ours (numpy, r x lambda)",amazon-games,10,0.05,1.1896,289.5
"Ours (numpy, r x lambda)",amazon-games,10,0.045,1.1896,294.1
"Ours (numpy, r x lambda)",amazon-games,10,0.06,1.1896,294.5
"Ours (numpy, r x lambda)",amazon-games,10,0.07,1.1896,290.1
"Ours (numpy, r x lambda)",amazon-games,10,0.08,1.1896,290.6
"Ours (numpy, r x lambda)",amazon-games,10,0.09,1.1896,291.3
"Ours (numpy, r x lambda)",amazon-games,10,0.1,1.1896,288.5
"Ours (numpy, r x lambda)",amazon-games,10,0.12,1.1896,290.0
"Ours (numpy, r x lambda)",amazon-games,10,0.15,1.1895,291.4
"Ours (numpy, r x lambda)",amazon-games,10,0.2,1.1895,291.6
"Ours (numpy, r x lambda)",amazon-games,10,0.3,1.1895,295.0
"Ours (numpy, r x lambda)",amazon-games,10,0.4,1.1895,293.8
"Ours (numpy, r x lambda)",amazon-games,10,0.5,1.1895,291.7
"Ours (numpy, r x lambda)",amazon-games,10,0.6,1.1894,295.7
"Ours (numpy, r x lambda)",amazon-games,10,0.7,1.1894,295.4
"Ours (numpy, r x lambda)",amazon-games,10,0.8,1.1894,290.6
"Ours (numpy, r x lambda)",amazon-games,10,0.9,1.1894,291.2
"Ours (numpy, r x lambda)",amazon-games,10,1.0,1.1893,290.8
"Ours (numpy, r x lambda)",amazon-games,10,1.2,1.1893,290.9
"Ours (numpy, r x lambda)",amazon-games,10,1.4,1.1892,292.6
"Ours (numpy, r x lambda)",amazon-games,10,1.6,1.1891,290.1
"Ours (numpy, r x lambda)",amazon-games,10,1.8,3.554584708541774e+95,290.5
"Ours (numpy, r x lambda)",amazon-games,10,2.0,nan,294.0
"Ours (numpy, r x lambda)",amazon-games,20,0.0,1.1889,292.9
"Ours (numpy, r x lambda)",amazon-games,20,0.0001,1.1889,289.7
"Ours (numpy, r x lambda)",amazon-games,20,0.0005,1.1889,294.8
"Ours (numpy, r x lambda)",amazon-games,20,0.001,1.1889,297.7
"Ours (numpy, r x lambda)",amazon-games,20,0.005,1.1889,294.0
"Ours (numpy, r x lambda)",amazon-games,20,0.01,1.1889,297.6
"Ours (numpy, r x lambda)",amazon-games,20,0.02,1.1889,294.6
"Ours (numpy, r x lambda)",amazon-games,20,0.03,1.1889,293.5
"Ours (numpy, r x lambda)",amazon-games,20,0.04,1.1889,293.3
"Ours (numpy, r x lambda)",amazon-games,20,0.045,1.1889,292.7
"Ours (numpy, r x lambda)",amazon-games,20,0.05,1.1889,291.3
"Ours (numpy, r x lambda)",amazon-games,20,0.06,1.1889,295.0
"Ours (numpy, r x lambda)",amazon-games,20,0.07,1.1889,292.1
"Ours (numpy, r x lambda)",amazon-games,20,0.08,1.1889,291.6
"Ours (numpy, r x lambda)",amazon-games,20,0.09,1.1889,294.9
"Ours (numpy, r x lambda)",amazon-games,20,0.1,1.1889,297.3
"Ours (numpy, r x lambda)",amazon-games,20,0.12,1.1889,290.2
"Ours (numpy, r x lambda)",amazon-games,20,0.15,1.1889,294.6
"Ours (numpy, r x lambda)",amazon-games,20,0.3,1.1888,289.4
"Ours (numpy, r x lambda)",amazon-games,20,0.2,1.1888,292.9
"Ours (numpy, r x lambda)",amazon-games,20,0.4,1.1887,293.9
"Ours (numpy, r x lambda)",amazon-games,20,0.5,1.1886,294.6
"Ours (numpy, r x lambda)",amazon-games,20,0.6,1.1886,289.0
"Ours (numpy, r x lambda)",amazon-games,20,0.7,1.1885,297.4
"Ours (numpy, r x lambda)",amazon-games,20,0.8,1.1884,294.1
"Ours (numpy, r x lambda)",amazon-games,20,0.9,1.1883,296.1
"Ours (numpy, r x lambda)",amazon-games,20,1.0,1.1882,296.1
"Ours (numpy, r x lambda)",amazon-games,20,1.4,1.1879,290.9
"Ours (numpy, r x lambda)",amazon-games,20,1.2,1.188,296.3
"Ours (numpy, r x lambda)",amazon-games,20,1.6,1.1878,291.6
"Ours (numpy, r x lambda)",amazon-games,20,1.8,inf,294.4
"Ours (numpy, r x lambda)",amazon-games,20,2.0,nan,295.0
"Ours (numpy, r x lambda)",amazon-games,50,0.0,1.1877,299.1
"Ours (numpy, r x lambda)",amazon-games,50,0.0001,1.1877,297.5
"Ours (numpy, r x lambda)",amazon-games,50,0.0005,1.1877,300.0
"Ours (numpy, r x lambda)",amazon-games,50,0.001,1.1877,299.5
"Ours (numpy, r x lambda)",amazon-games,50,0.005,1.1877,295.9
"Ours (numpy, r x lambda)",amazon-games,50,0.01,1.1877,295.6
"Ours (numpy, r x lambda)",amazon-games,50,0.02,1.1877,301.6
"Ours (numpy, r x lambda)",amazon-games,50,0.03,1.1877,296.4
"Ours (numpy, r x lambda)",amazon-games,50,0.04,1.1877,298.0
"Ours (numpy, r x lambda)",amazon-games,50,0.045,1.1877,300.7
"Ours (numpy, r x lambda)",amazon-games,50,0.05,1.1877,295.3
"Ours (numpy, r x lambda)",amazon-games,50,0.06,1.1877,298.3
"Ours (numpy, r x lambda)",amazon-games,50,0.07,1.1877,298.9
"Ours (numpy, r x lambda)",amazon-games,50,0.08,1.1876,298.3
"Ours (numpy, r x lambda)",amazon-games,50,0.09,1.1876,301.9
"Ours (numpy, r x lambda)",amazon-games,50,0.1,1.1876,298.2
"Ours (numpy, r x lambda)",amazon-games,50,0.12,1.1876,296.3
"Ours (numpy, r x lambda)",amazon-games,50,0.15,1.1876,297.6
"Ours (numpy, r x lambda)",amazon-games,50,0.2,1.1875,297.7
"Ours (numpy, r x lambda)",amazon-games,50,0.3,1.1874,296.9
"Ours (numpy, r x lambda)",amazon-games,50,0.4,1.1873,301.5
"Ours (numpy, r x lambda)",amazon-games,50,0.5,1.1872,299.3
"Ours (numpy, r x lambda)",amazon-games,50,0.6,1.187,295.8
"Ours (numpy, r x lambda)",amazon-games,50,0.7,1.1869,299.0
"Ours (numpy, r x lambda)",amazon-games,50,0.8,1.1868,295.3
"Ours (numpy, r x lambda)",amazon-games,50,0.9,1.1866,296.6
"Ours (numpy, r x lambda)",amazon-games,50,1.0,1.1865,299.3
"Ours (numpy, r x lambda)",amazon-games,50,1.2,1.1862,297.7
"Ours (numpy, r x lambda)",amazon-games,50,1.4,1.186,295.4
"Ours (numpy, r x lambda)",amazon-games,50,1.6,6.325208445976815e+96,298.1
"Ours (numpy, r x lambda)",amazon-games,50,1.8,nan,299.5
"Ours (numpy, r x lambda)",amazon-games,50,2.0,nan,298.6
"Ours (numpy, r x lambda)",amazon-games,100,0.0,1.1873,306.7
"Ours (numpy, r x lambda)",amazon-games,100,0.0001,1.1873,303.6
"Ours (numpy, r x lambda)",amazon-games,100,0.0005,1.1873,301.6
"Ours (numpy, r x lambda)",amazon-games,100,0.001,1.1873,303.1
"Ours (numpy, r x lambda)",amazon-games,100,0.005,1.1873,304.5
"Ours (numpy, r x lambda)",amazon-games,100,0.01,1.1873,302.5
"Ours (numpy, r x lambda)",amazon-games,100,0.02,1.1873,301.5
"Ours (numpy, r x lambda)",amazon-games,100,0.03,1.1873,303.8
"Ours (numpy, r x lambda)",amazon-games,100,0.04,1.1872,302.9
"Ours (numpy, r x lambda)",amazon-games,100,0.045,1.1872,303.3
"Ours (numpy, r x lambda)",amazon-games,100,0.05,1.1872,302.8
"Ours (numpy, r x lambda)",amazon-games,100,0.06,1.1872,302.5
"Ours (numpy, r x lambda)",amazon-games,100,0.07,1.1872,308.2
"Ours (numpy, r x lambda)",amazon-games,100,0.08,1.1872,304.7
"Ours (numpy, r x lambda)",amazon-games,100,0.09,1.1871,305.9
"Ours (numpy, r x lambda)",amazon-games,100,0.1,1.1871,308.5
"Ours (numpy, r x lambda)",amazon-games,100,0.12,1.1871,307.5
"Ours (numpy, r x lambda)",amazon-games,100,0.15,1.187,306.9
"Ours (numpy, r x lambda)",amazon-games,100,0.2,1.1869,305.3
"Ours (numpy, r x lambda)",amazon-games,100,0.3,1.1867,305.0
"Ours (numpy, r x lambda)",amazon-games,100,0.4,1.1865,303.5
"Ours (numpy, r x lambda)",amazon-games,100,0.5,1.1863,302.7
"Ours (numpy, r x lambda)",amazon-games,100,0.6,1.1861,302.1
"Ours (numpy, r x lambda)",amazon-games,100,0.7,1.1859,303.0
"Ours (numpy, r x lambda)",amazon-games,100,0.8,1.1858,307.8
"Ours (numpy, r x lambda)",amazon-games,100,0.9,1.1856,304.1
"Ours (numpy, r x lambda)",amazon-games,100,1.0,1.1854,302.0
"Ours (numpy, r x lambda)",amazon-games,100,1.2,1.1851,305.0
"Ours (numpy, r x lambda)",amazon-games,100,1.4,1.1847,299.1
"Ours (numpy, r x lambda)",amazon-games,100,1.6,1.1844,302.2
"Ours (numpy, r x lambda)",amazon-games,100,1.8,nan,297.5
"Ours (numpy, r x lambda)",amazon-games,100,2.0,nan,298.7
