method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-1m,100,0.005,1.1072,309.8
"Ours (numpy, r x lambda)",ml-1m,100,0.01,1.1009,310.2
"Ours (numpy, r x lambda)",ml-1m,100,0.02,1.08,314.5
"Ours (numpy, r x lambda)",ml-1m,100,0.03,1.0531,315.6
"Ours (numpy, r x lambda)",ml-1m,100,0.04,1.0296,315.3
"Ours (numpy, r x lambda)",ml-1m,100,0.045,1.0191,315.6
"Ours (numpy, r x lambda)",ml-1m,100,0.05,1.0092,310.9
"Ours (numpy, r x lambda)",ml-1m,100,0.06,0.9914,309.9
"Ours (numpy, r x lambda)",ml-1m,100,0.07,0.9767,313.5
"Ours (numpy, r x lambda)",ml-1m,100,0.08,0.9651,313.6
"Ours (numpy, r x lambda)",ml-1m,100,0.09,0.9564,317.4
"Ours (numpy, r x lambda)",ml-1m,100,0.1,0.9502,316.0
"Ours (numpy, r x lambda)",ml-1m,100,0.12,0.944,311.9
"Ours (numpy, r x lambda)",ml-1m,100,0.15,0.9465,314.0
"Ours (numpy, r x lambda)",ml-1m,100,0.2,0.9642,314.7
"Ours (numpy, r x lambda)",ml-1m,100,0.3,0.9998,304.1
"Ours (numpy, r x lambda)",ml-1m,100,0.4,nan,302.2
"Ours (numpy, r x lambda)",ml-1m,100,0.5,nan,297.6
"Ours (numpy, r x lambda)",douban,1,0.0,0.9829,477.5
"Ours (numpy, r x lambda)",douban,1,0.005,0.9827,475.1
"Ours (numpy, r x lambda)",douban,1,0.0001,0.9829,477.9
"Ours (numpy, r x lambda)",douban,1,0.0005,0.9829,478.5
"Ours (numpy, r x lambda)",douban,1,0.01,0.9823,477.4
"Ours (numpy, r x lambda)",douban,1,0.001,0.9829,542.1
"Ours (numpy, r x lambda)",douban,1,0.04,0.9635,474.4
"Ours (numpy, r x lambda)",douban,1,0.02,0.9803,476.5
"Ours (numpy, r x lambda)",douban,1,0.045,0.9542,476.1
"Ours (numpy, r x lambda)",douban,1,0.05,0.9429,475.4
"Ours (numpy, r x lambda)",douban,1,0.03,0.9752,478.5
"Ours (numpy, r x lambda)",douban,1,0.06,0.9188,538.4
"Ours (numpy, r x lambda)",douban,1,0.07,0.8982,476.6
"Ours (numpy, r x lambda)",douban,1,0.1,0.8618,474.1
"Ours (numpy, r x lambda)",douban,1,0.09,0.8707,475.6
"Ours (numpy, r x lambda)",douban,1,0.08,0.8825,480.5
"Ours (numpy, r x lambda)",douban,1,0.12,0.8496,480.9
"Ours (numpy, r x lambda)",douban,1,0.15,0.8387,545.8
"Ours (numpy, r x lambda)",douban,2,0.0,0.9824,382.3
"Ours (numpy, r x lambda)",douban,1,0.3,0.8215,471.8
"Ours (numpy, r x lambda)",douban,1,0.4,0.819,475.6
"Ours (numpy, r x lambda)",douban,1,0.2,0.8291,478.2
"Ours (numpy, r x lambda)",douban,1,0.5,0.8178,476.8
"Ours (numpy, r x lambda)",douban,2,0.0001,0.9824,385.8
"Ours (numpy, r x lambda)",douban,2,0.0005,0.9824,385.5
"Ours (numpy, r x lambda)",douban,2,0.001,0.9823,386.3
"Ours (numpy, r x lambda)",douban,2,0.005,0.9819,383.2
"Ours (numpy, r x lambda)",douban,2,0.01,0.9809,385.0
"Ours (numpy, r x lambda)",douban,2,0.02,0.9763,381.4
"Ours (numpy, r x lambda)",douban,2,0.03,0.9655,386.1
"Ours (numpy, r x lambda)",douban,2,0.04,0.9464,381.5
"Ours (numpy, r x lambda)",douban,2,0.045,0.9353,385.7
"Ours (numpy, r x lambda)",douban,2,0.06,0.9045,383.1
"Ours (numpy, r x lambda)",douban,2,0.05,0.9243,385.7
"Ours (numpy, r x lambda)",douban,2,0.07,0.8875,383.9
"Ours (numpy, r x lambda)",douban,2,0.08,0.8726,383.0
"Ours (numpy, r x lambda)",douban,2,0.09,0.8591,389.0
"Ours (numpy, r x lambda)",douban,2,0.2,0.7908,382.0
"Ours (numpy, r x lambda)",douban,2,0.15,0.8081,383.1
"Ours (numpy, r x lambda)",douban,2,0.12,0.8276,383.9
"Ours (numpy, r x lambda)",douban,2,0.1,0.8471,386.2
"Ours (numpy, r x lambda)",douban,2,0.3,0.7784,385.2
"Ours (numpy, r x lambda)",douban,2,0.4,0.7751,384.3
"Ours (numpy, r x lambda)",douban,3,0.0001,0.9776,382.7
"Ours (numpy, r x lambda)",douban,2,0.5,0.7742,385.6
"Ours (numpy, r x lambda)",douban,3,0.0,0.9777,385.3
"Ours (numpy, r x lambda)",douban,3,0.0005,0.9775,384.9
"Ours (numpy, r x lambda)",douban,3,0.001,0.9774,384.9
"Ours (numpy, r x lambda)",douban,3,0.005,0.9755,390.6
"Ours (numpy, r x lambda)",douban,3,0.01,0.9714,383.8
"Ours (numpy, r x lambda)",douban,3,0.02,0.9555,384.7
"Ours (numpy, r x lambda)",douban,3,0.03,0.931,385.0
"Ours (numpy, r x lambda)",douban,3,0.04,0.9074,390.6
"Ours (numpy, r x lambda)",douban,3,0.045,0.8976,385.7
"Ours (numpy, r x lambda)",douban,3,0.05,0.8888,390.4
"Ours (numpy, r x lambda)",douban,3,0.06,0.8738,380.0
"Ours (numpy, r x lambda)",douban,3,0.07,0.861,385.8
"Ours (numpy, r x lambda)",douban,3,0.08,0.8493,386.6
"Ours (numpy, r x lambda)",douban,3,0.09,0.8386,390.4
"Ours (numpy, r x lambda)",douban,3,0.1,0.8289,387.9
"Ours (numpy, r x lambda)",douban,3,0.12,0.8132,384.7
"Ours (numpy, r x lambda)",douban,3,0.15,0.7974,383.6
"Ours (numpy, r x lambda)",douban,3,0.2,nan,378.4
"Ours (numpy, r x lambda)",douban,3,0.3,0.7737,383.9
"Ours (numpy, r x lambda)",douban,3,0.4,0.7712,385.5
"Ours (numpy, r x lambda)",douban,3,0.5,0.7703,384.8
"Ours (numpy, r x lambda)",douban,4,0.0,0.9613,392.3
"Ours (numpy, r x lambda)",douban,4,0.0001,0.9612,384.0
"Ours (numpy, r x lambda)",douban,4,0.0005,0.9608,381.3
"Ours (numpy, r x lambda)",douban,4,0.001,0.9603,385.8
"Ours (numpy, r x lambda)",douban,4,0.005,0.9544,388.9
"Ours (numpy, r x lambda)",douban,4,0.01,0.943,389.0
"Ours (numpy, r x lambda)",douban,4,0.02,0.9158,385.5
"Ours (numpy, r x lambda)",douban,4,0.03,0.8935,380.1
"Ours (numpy, r x lambda)",douban,4,0.04,0.877,386.4
"Ours (numpy, r x lambda)",douban,4,0.045,0.8703,385.2
"Ours (numpy, r x lambda)",douban,4,0.05,0.8642,391.0
"Ours (numpy, r x lambda)",douban,4,0.06,0.8536,385.9
"Ours (numpy, r x lambda)",douban,4,0.07,0.844,392.3
"Ours (numpy, r x lambda)",douban,4,0.08,0.8348,384.5
"Ours (numpy, r x lambda)",douban,4,0.09,0.8262,382.4
"Ours (numpy, r x lambda)",douban,4,0.1,0.8184,386.5
"Ours (numpy, r x lambda)",douban,4,0.12,0.806,385.5
"Ours (numpy, r x lambda)",douban,4,0.15,0.7936,383.4
"Ours (numpy, r x lambda)",douban,4,0.2,0.7826,390.3
"Ours (numpy, r x lambda)",douban,4,0.3,0.775,383.8
"Ours (numpy, r x lambda)",douban,4,0.4,nan,383.5
"Ours (numpy, r x lambda)",douban,4,0.5,nan,380.9
"Ours (numpy, r x lambda)",douban,5,0.0,0.9772,382.3
"Ours (numpy, r x lambda)",douban,5,0.0001,0.9772,384.2
"Ours (numpy, r x lambda)",douban,5,0.0005,0.9771,383.2
"Ours (numpy, r x lambda)",douban,5,0.001,0.9769,384.6
"Ours (numpy, r x lambda)",douban,5,0.005,0.975,382.2
"Ours (numpy, r x lambda)",douban,5,0.01,0.9707,388.6
"Ours (numpy, r x lambda)",douban,5,0.02,0.9543,386.7
"Ours (numpy, r x lambda)",douban,5,0.03,0.9291,388.0
"Ours (numpy, r x lambda)",douban,5,0.04,0.9053,387.1
"Ours (numpy, r x lambda)",douban,5,0.05,0.8871,384.6
"Ours (numpy, r x lambda)",douban,5,0.045,0.8955,388.4
"Ours (numpy, r x lambda)",douban,5,0.06,0.8734,386.3
"Ours (numpy, r x lambda)",douban,5,0.07,0.8624,383.4
"Ours (numpy, r x lambda)",douban,5,0.08,0.853,382.9
"Ours (numpy, r x lambda)",douban,5,0.09,0.8444,389.5
"Ours (numpy, r x lambda)",douban,5,0.1,0.8362,382.9
"Ours (numpy, r x lambda)",douban,5,0.12,0.8214,386.3
"Ours (numpy, r x lambda)",douban,5,0.15,0.8051,383.2
"Ours (numpy, r x lambda)",douban,5,0.2,0.7903,386.8
"Ours (numpy, r x lambda)",douban,5,0.3,0.7801,385.3
"Ours (numpy, r x lambda)",douban,5,0.4,nan,389.0
"Ours (numpy, r x lambda)",douban,5,0.5,nan,385.3
"Ours (numpy, r x lambda)",douban,10,0.0,0.9753,390.4
"Ours (numpy, r x lambda)",douban,10,0.0001,0.9753,391.1
"Ours (numpy, r x lambda)",douban,10,0.0005,0.9751,392.7
"Ours (numpy, r x lambda)",douban,10,0.001,0.9749,392.8
"Ours (numpy, r x lambda)",douban,10,0.005,0.9724,394.0
"Ours (numpy, r x lambda)",douban,10,0.01,0.9669,390.5
"Ours (numpy, r x lambda)",douban,10,0.02,0.947,388.6
"Ours (numpy, r x lambda)",douban,10,0.03,0.92,390.2
"Ours (numpy, r x lambda)",douban,10,0.04,0.896,389.6
"Ours (numpy, r x lambda)",douban,10,0.045,0.8858,395.7
"Ours (numpy, r x lambda)",douban,10,0.05,0.8765,394.4
"Ours (numpy, r x lambda)",douban,10,0.06,0.8603,387.5
"Ours (numpy, r x lambda)",douban,10,0.07,0.8466,386.1
"Ours (numpy, r x lambda)",douban,10,0.08,0.8351,394.8
"Ours (numpy, r x lambda)",douban,10,0.09,0.8256,389.5
"Ours (numpy, r x lambda)",douban,10,0.1,0.8178,389.6
"Ours (numpy, r x lambda)",douban,10,0.12,0.8061,392.2
"Ours (numpy, r x lambda)",douban,10,0.15,0.7957,390.2
"Ours (numpy, r x lambda)",douban,10,0.2,nan,390.3
"Ours (numpy, r x lambda)",douban,10,0.3,nan,388.9
"Ours (numpy, r x lambda)",douban,10,0.4,nan,388.7
"Ours (numpy, r x lambda)",douban,10,0.5,nan,390.7
"Ours (numpy, r x lambda)",douban,20,0.0,0.9793,394.7
"Ours (numpy, r x lambda)",douban,20,0.0001,0.9793,386.3
"Ours (numpy, r x lambda)",douban,20,0.0005,0.9792,386.4
"Ours (numpy, r x lambda)",douban,20,0.001,0.9791,392.7
"Ours (numpy, r x lambda)",douban,20,0.005,0.9775,391.3
"Ours (numpy, r x lambda)",douban,20,0.01,0.974,395.6
"Ours (numpy, r x lambda)",douban,20,0.03,0.9355,385.1
"Ours (numpy, r x lambda)",douban,20,0.02,0.9598,394.6
"Ours (numpy, r x lambda)",douban,20,0.04,0.9092,383.7
"Ours (numpy, r x lambda)",douban,20,0.045,0.8974,391.5
"Ours (numpy, r x lambda)",douban,20,0.05,0.8866,387.9
"Ours (numpy, r x lambda)",douban,20,0.06,0.8678,393.7
"Ours (numpy, r x lambda)",douban,20,0.07,0.8525,389.7
"Ours (numpy, r x lambda)",douban,20,0.09,0.8305,387.5
"Ours (numpy, r x lambda)",douban,20,0.08,0.8403,395.2
"Ours (numpy, r x lambda)",douban,20,0.1,0.8228,392.2
"Ours (numpy, r x lambda)",douban,20,0.12,0.8121,391.4
"Ours (numpy, r x lambda)",douban,20,0.15,nan,391.0
"Ours (numpy, r x lambda)",douban,20,0.2,nan,386.1
"Ours (numpy, r x lambda)",douban,20,0.3,nan,389.7
"Ours (numpy, r x lambda)",douban,20,0.4,nan,397.9
"Ours (numpy, r x lambda)",douban,20,0.5,nan,396.8
"Ours (numpy, r x lambda)",douban,50,0.0,0.9729,396.2
"Ours (numpy, r x lambda)",douban,50,0.0001,0.9728,390.5
"Ours (numpy, r x lambda)",douban,50,0.0005,0.9726,392.5
"Ours (numpy, r x lambda)",douban,50,0.001,0.9723,395.2
"Ours (numpy, r x lambda)",douban,50,0.005,0.9687,398.0
"Ours (numpy, r x lambda)",douban,50,0.01,0.9607,396.8
"Ours (numpy, r x lambda)",douban,50,0.02,0.9351,397.5
"Ours (numpy, r x lambda)",douban,50,0.03,0.9069,395.4
"Ours (numpy, r x lambda)",douban,50,0.04,0.8839,390.8
"Ours (numpy, r x lambda)",douban,50,0.045,0.8741,395.0
"Ours (numpy, r x lambda)",douban,50,0.05,0.8654,395.1
"Ours (numpy, r x lambda)",douban,50,0.06,0.8506,399.0
"Ours (numpy, r x lambda)",douban,50,0.07,0.8391,398.1
"Ours (numpy, r x lambda)",douban,50,0.08,0.8305,395.0
"Ours (numpy, r x lambda)",douban,50,0.09,0.8243,397.1
"Ours (numpy, r x lambda)",douban,50,0.1,0.8198,399.3
"Ours (numpy, r x lambda)",douban,50,0.12,0.8155,393.8
"Ours (numpy, r x lambda)",douban,50,0.15,nan,398.0
"Ours (numpy, r x lambda)",douban,50,0.2,nan,395.4
"Ours (numpy, r x lambda)",douban,50,0.3,nan,395.0
"Ours (numpy, r x lambda)",douban,50,0.4,nan,391.4
"Ours (numpy, r x lambda)",douban,50,0.5,nan,396.2
"Ours (numpy, r x lambda)",douban,100,0.0,0.9717,405.5
"Ours (numpy, r x lambda)",douban,100,0.0001,0.9716,406.0
"Ours (numpy, r x lambda)",douban,100,0.0005,0.9714,403.4
"Ours (numpy, r x lambda)",douban,100,0.001,0.971,398.7
"Ours (numpy, r x lambda)",douban,100,0.005,0.9663,402.3
"Ours (numpy, r x lambda)",douban,100,0.01,0.9564,403.3
"Ours (numpy, r x lambda)",douban,100,0.02,0.9283,400.7
"Ours (numpy, r x lambda)",douban,100,0.04,0.8807,402.6
"Ours (numpy, r x lambda)",douban,100,0.03,0.9016,406.2
"Ours (numpy, r x lambda)",douban,100,0.045,0.872,404.3
"Ours (numpy, r x lambda)",douban,100,0.05,0.8642,399.3
"Ours (numpy, r x lambda)",douban,100,0.06,0.8515,400.8
"Ours (numpy, r x lambda)",douban,100,0.07,0.8422,398.4
"Ours (numpy, r x lambda)",douban,100,0.08,0.8362,410.7
"Ours (numpy, r x lambda)",douban,100,0.09,0.8325,415.2
"Ours (numpy, r x lambda)",douban,100,0.1,0.8312,410.0
"Ours (numpy, r x lambda)",douban,100,0.12,0.8327,413.4
"Ours (numpy, r x lambda)",douban,100,0.15,nan,412.8
"Ours (numpy, r x lambda)",douban,100,0.2,nan,419.3
"Ours (numpy, r x lambda)",douban,100,0.3,nan,399.8
"Ours (numpy, r x lambda)",douban,100,0.4,nan,406.5
"Ours (numpy, r x lambda)",douban,100,0.5,nan,388.0
"Ours (numpy, r x lambda)",amazon-games,1,0.0,nan,172.8
"Ours (numpy, r x lambda)",amazon-games,1,0.0005,nan,173.9
"Ours (numpy, r x lambda)",amazon-games,1,0.0001,nan,175.1
"Ours (numpy, r x lambda)",amazon-games,1,0.001,nan,169.9
"Ours (numpy, r x lambda)",amazon-games,1,0.005,nan,170.7
"Ours (numpy, r x lambda)",amazon-games,1,0.01,nan,171.7
"Ours (numpy, r x lambda)",amazon-games,1,0.02,nan,170.5
"Ours (numpy, r x lambda)",amazon-games,1,0.03,nan,172.1
"Ours (numpy, r x lambda)",amazon-games,1,0.04,nan,172.5
"Ours (numpy, r x lambda)",amazon-games,1,0.045,nan,171.9
"Ours (numpy, r x lambda)",amazon-games,1,0.05,nan,172.2
"Ours (numpy, r x lambda)",amazon-games,1,0.06,nan,173.6
"Ours (numpy, r x lambda)",amazon-games,1,0.07,nan,167.7
"Ours (numpy, r x lambda)",amazon-games,1,0.08,nan,168.3
"Ours (numpy, r x lambda)",amazon-games,1,0.09,nan,169.3
"Ours (numpy, r x lambda)",amazon-games,1,0.1,nan,167.3
"Ours (numpy, r x lambda)",amazon-games,1,0.12,nan,168.1
"Ours (numpy, r x lambda)",amazon-games,1,0.15,nan,169.0
"Ours (numpy, r x lambda)",amazon-games,1,0.2,nan,167.3
"Ours (numpy, r x lambda)",amazon-games,1,0.3,nan,167.2
"Ours (numpy, r x lambda)",amazon-games,1,0.4,nan,168.7
"Ours (numpy, r x lambda)",amazon-games,2,0.0,nan,134.1
"Ours (numpy, r x lambda)",amazon-games,2,0.0001,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,1,0.5,nan,167.3
"Ours (numpy, r x lambda)",amazon-games,2,0.0005,nan,133.6
"Ours (numpy, r x lambda)",amazon-games,2,0.001,nan,134.1
"Ours (numpy, r x lambda)",amazon-games,2,0.005,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,2,0.01,nan,133.8
"Ours (numpy, r x lambda)",amazon-games,2,0.02,nan,134.4
"Ours (numpy, r x lambda)",amazon-games,2,0.03,nan,134.6
"Ours (numpy, r x lambda)",amazon-games,2,0.04,nan,133.7
"Ours (numpy, r x lambda)",amazon-games,2,0.045,nan,134.7
"Ours (numpy, r x lambda)",amazon-games,2,0.05,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,2,0.06,nan,133.8
"Ours (numpy, r x lambda)",amazon-games,2,0.07,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,2,0.08,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,2,0.09,nan,133.4
"Ours (numpy, r x lambda)",amazon-games,2,0.1,nan,134.4
"Ours (numpy, r x lambda)",amazon-games,2,0.12,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,2,0.15,nan,133.9
"Ours (numpy, r x lambda)",amazon-games,2,0.2,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,2,0.3,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,2,0.4,nan,133.7
"Ours (numpy, r x lambda)",amazon-games,2,0.5,nan,134.6
"Ours (numpy, r x lambda)",amazon-games,3,0.0,nan,135.0
"Ours (numpy, r x lambda)",amazon-games,3,0.0001,nan,133.9
"Ours (numpy, r x lambda)",amazon-games,3,0.0005,nan,134.6
"Ours (numpy, r x lambda)",amazon-games,3,0.001,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,3,0.005,nan,133.7
"Ours (numpy, r x lambda)",amazon-games,3,0.01,nan,134.7
"Ours (numpy, r x lambda)",amazon-games,3,0.02,nan,135.0
"Ours (numpy, r x lambda)",amazon-games,3,0.03,nan,134.2
"Ours (numpy, r x lambda)",amazon-games,3,0.04,nan,135.0
"Ours (numpy, r x lambda)",amazon-games,3,0.045,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,3,0.05,nan,134.1
"Ours (numpy, r x lambda)",amazon-games,3,0.06,nan,135.4
"Ours (numpy, r x lambda)",amazon-games,3,0.07,nan,135.5
"Ours (numpy, r x lambda)",amazon-games,3,0.08,nan,133.8
"Ours (numpy, r x lambda)",amazon-games,3,0.09,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,3,0.1,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,3,0.12,nan,133.9
"Ours (numpy, r x lambda)",amazon-games,3,0.15,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,3,0.2,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,3,0.3,nan,133.9
"Ours (numpy, r x lambda)",amazon-games,3,0.4,nan,134.5
"Ours (numpy, r x lambda)",amazon-games,3,0.5,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,4,0.0,nan,133.6
"Ours (numpy, r x lambda)",amazon-games,4,0.0001,nan,135.2
"Ours (numpy, r x lambda)",amazon-games,4,0.0005,nan,136.0
"Ours (numpy, r x lambda)",amazon-games,4,0.001,nan,134.2
"Ours (numpy, r x lambda)",amazon-games,4,0.005,nan,134.1
"Ours (numpy, r x lambda)",amazon-games,4,0.01,nan,134.4
"Ours (numpy, r x lambda)",amazon-games,4,0.02,nan,133.6
"Ours (numpy, r x lambda)",amazon-games,4,0.03,nan,134.7
"Ours (numpy, r x lambda)",amazon-games,4,0.04,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,4,0.045,nan,134.1
"Ours (numpy, r x lambda)",amazon-games,4,0.05,nan,134.7
"Ours (numpy, r x lambda)",amazon-games,4,0.06,nan,135.0
"Ours (numpy, r x lambda)",amazon-games,4,0.07,nan,133.5
"Ours (numpy, r x lambda)",amazon-games,4,0.08,nan,134.2
"Ours (numpy, r x lambda)",amazon-games,4,0.09,nan,134.7
"Ours (numpy, r x lambda)",amazon-games,4,0.1,nan,133.6
"Ours (numpy, r x lambda)",amazon-games,4,0.12,nan,134.3
"Ours (numpy, r x lambda)",amazon-games,4,0.15,nan,134.7
"Ours (numpy, r x lambda)",amazon-games,4,0.2,nan,133.3
"Ours (numpy, r x lambda)",amazon-games,4,0.3,nan,134.2
"Ours (numpy, r x lambda)",amazon-games,4,0.4,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,4,0.5,nan,133.6
"Ours (numpy, r x lambda)",amazon-games,5,0.0,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,5,0.0001,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,5,0.0005,nan,134.4
"Ours (numpy, r x lambda)",amazon-games,5,0.001,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,5,0.005,nan,135.3
"Ours (numpy, r x lambda)",amazon-games,5,0.01,nan,134.2
"Ours (numpy, r x lambda)",amazon-games,5,0.02,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,5,0.03,nan,135.0
"Ours (numpy, r x lambda)",amazon-games,5,0.04,nan,134.2
"Ours (numpy, r x lambda)",amazon-games,5,0.045,nan,134.8
"Ours (numpy, r x lambda)",amazon-games,5,0.05,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,5,0.06,nan,134.1
"Ours (numpy, r x lambda)",amazon-games,5,0.07,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,5,0.08,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,5,0.09,nan,134.1
"Ours (numpy, r x lambda)",amazon-games,5,0.1,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,5,0.12,nan,135.3
"Ours (numpy, r x lambda)",amazon-games,5,0.15,nan,134.0
"Ours (numpy, r x lambda)",amazon-games,5,0.2,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,5,0.3,nan,134.9
"Ours (numpy, r x lambda)",amazon-games,5,0.4,nan,134.2
"Ours (numpy, r x lambda)",amazon-games,5,0.5,nan,135.1
"Ours (numpy, r x lambda)",amazon-games,10,0.0,nan,137.3
"Ours (numpy, r x lambda)",amazon-games,10,0.0001,nan,136.0
"Ours (numpy, r x lambda)",amazon-games,10,0.0005,nan,136.8
"Ours (numpy, r x lambda)",amazon-games,10,0.001,nan,137.0
"Ours (numpy, r x lambda)",amazon-games,10,0.005,nan,135.9
"Ours (numpy, r x lambda)",amazon-games,10,0.01,nan,137.0
"Ours (numpy, r x lambda)",amazon-games,10,0.02,nan,137.4
"Ours (numpy, r x lambda)",amazon-games,10,0.03,1.1883,135.9
"Ours (numpy, r x lambda)",amazon-games,10,0.04,1.1883,137.0
"Ours (numpy, r x lambda)",amazon-games,10,0.045,nan,137.1
"Ours (numpy, r x lambda)",amazon-games,10,0.05,1.1883,135.9
"Ours (numpy, r x lambda)",amazon-games,10,0.06,1.1883,137.0
"Ours (numpy, r x lambda)",amazon-games,10,0.07,1.1883,137.4
"Ours (numpy, r x lambda)",amazon-games,10,0.08,1.1883,135.9
"Ours (numpy, r x lambda)",amazon-games,10,0.09,1.1883,137.1
"Ours (numpy, r x lambda)",amazon-games,10,0.1,1.1883,137.2
"Ours (numpy, r x lambda)",amazon-games,10,0.12,1.1883,136.0
"Ours (numpy, r x lambda)",amazon-games,10,0.15,1.1883,137.6
"Ours (numpy, r x lambda)",amazon-games,10,0.2,nan,137.7
"Ours (numpy, r x lambda)",amazon-games,10,0.3,nan,136.4
"Ours (numpy, r x lambda)",amazon-games,10,0.4,nan,136.9
"Ours (numpy, r x lambda)",amazon-games,10,0.5,nan,137.2
"Ours (numpy, r x lambda)",amazon-games,20,0.0,1.1864,136.8
"Ours (numpy, r x lambda)",amazon-games,20,0.0001,1.1864,137.3
"Ours (numpy, r x lambda)",amazon-games,20,0.0005,1.1864,137.6
"Ours (numpy, r x lambda)",amazon-games,20,0.001,1.1864,136.7
"Ours (numpy, r x lambda)",amazon-games,20,0.005,1.1864,137.3
"Ours (numpy, r x lambda)",amazon-games,20,0.01,1.1863,137.5
"Ours (numpy, r x lambda)",amazon-games,20,0.02,1.1863,136.6
"Ours (numpy, r x lambda)",amazon-games,20,0.03,1.1862,137.3
"Ours (numpy, r x lambda)",amazon-games,20,0.04,1.1862,137.9
"Ours (numpy, r x lambda)",amazon-games,20,0.045,1.1861,137.0
"Ours (numpy, r x lambda)",amazon-games,20,0.05,1.1861,137.1
"Ours (numpy, r x lambda)",amazon-games,20,0.06,1.186,137.1
"Ours (numpy, r x lambda)",amazon-games,20,0.07,1.186,136.5
"Ours (numpy, r x lambda)",amazon-games,20,0.08,1.1859,137.6
"Ours (numpy, r x lambda)",amazon-games,20,0.09,1.1859,137.7
"Ours (numpy, r x lambda)",amazon-games,20,0.1,1.1858,136.7
"Ours (numpy, r x lambda)",amazon-games,20,0.12,1.1857,137.1
"Ours (numpy, r x lambda)",amazon-games,20,0.15,1.1856,137.3
"Ours (numpy, r x lambda)",amazon-games,20,0.2,1.1855,136.7
"Ours (numpy, r x lambda)",amazon-games,20,0.3,nan,137.4
"Ours (numpy, r x lambda)",amazon-games,20,0.4,nan,137.9
"Ours (numpy, r x lambda)",amazon-games,20,0.5,nan,137.0
"Ours (numpy, r x lambda)",amazon-games,50,0.0,1.1835,140.2
"Ours (numpy, r x lambda)",amazon-games,50,0.0001,1.1835,140.0
"Ours (numpy, r x lambda)",amazon-games,50,0.0005,1.1835,139.0
"Ours (numpy, r x lambda)",amazon-games,50,0.001,1.1835,139.9
"Ours (numpy, r x lambda)",amazon-games,50,0.005,1.1835,139.9
"Ours (numpy, r x lambda)",amazon-games,50,0.01,1.1834,139.0
"Ours (numpy, r x lambda)",amazon-games,50,0.02,1.1833,140.1
"Ours (numpy, r x lambda)",amazon-games,50,0.03,1.1833,139.7
"Ours (numpy, r x lambda)",amazon-games,50,0.04,1.1832,138.8
"Ours (numpy, r x lambda)",amazon-games,50,0.045,1.1831,140.1
"Ours (numpy, r x lambda)",amazon-games,50,0.05,1.1831,139.7
"Ours (numpy, r x lambda)",amazon-games,50,0.06,1.183,138.9
"Ours (numpy, r x lambda)",amazon-games,50,0.07,1.1829,140.0
"Ours (numpy, r x lambda)",amazon-games,50,0.08,1.1828,140.5
"Ours (numpy, r x lambda)",amazon-games,50,0.09,1.1827,145.1
"Ours (numpy, r x lambda)",amazon-games,50,0.1,1.1827,149.1
"Ours (numpy, r x lambda)",amazon-games,50,0.12,1.1825,149.0
"Ours (numpy, r x lambda)",amazon-games,50,0.15,1.1824,144.9
"Ours (numpy, r x lambda)",amazon-games,50,0.2,1.1822,142.6
"Ours (numpy, r x lambda)",amazon-games,50,0.3,1.1823,142.4
"Ours (numpy, r x lambda)",amazon-games,50,0.4,1.1828,141.4
"Ours (numpy, r x lambda)",amazon-games,50,0.5,nan,142.9
"Ours (numpy, r x lambda)",amazon-games,100,0.0,1.1831,146.1
"Ours (numpy, r x lambda)",amazon-games,100,0.0001,1.1831,144.4
"Ours (numpy, r x lambda)",amazon-games,100,0.0005,1.1831,145.8
"Ours (numpy, r x lambda)",amazon-games,100,0.001,1.1831,146.0
"Ours (numpy, r x lambda)",amazon-games,100,0.005,1.1831,145.1
"Ours (numpy, r x lambda)",amazon-games,100,0.01,1.183,145.8
"Ours (numpy, r x lambda)",amazon-games,100,0.02,1.1829,145.6
"Ours (numpy, r x lambda)",amazon-games,100,0.03,1.1828,144.3
"Ours (numpy, r x lambda)",amazon-games,100,0.04,1.1827,145.2
