method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-1m,100,0.05,1.0092,287.5
"Ours (numpy, r x lambda)",douban,1,0.0001,0.9829,471.2
"Ours (numpy, r x lambda)",douban,1,0.001,0.9829,472.0
"Ours (numpy, r x lambda)",douban,1,0.0,0.9829,476.0
"Ours (numpy, r x lambda)",douban,1,0.01,0.9823,475.6
"Ours (numpy, r x lambda)",douban,1,0.005,0.9827,477.2
"Ours (numpy, r x lambda)",douban,1,0.0005,0.9829,479.4
"Ours (numpy, r x lambda)",douban,2,0.0,0.9824,432.9
"Ours (numpy, r x lambda)",douban,1,0.02,0.9803,526.7
"Ours (numpy, r x lambda)",douban,1,0.04,0.9635,525.9
"Ours (numpy, r x lambda)",douban,1,0.03,0.9752,528.4
"Ours (numpy, r x lambda)",douban,1,0.05,0.9429,534.6
"Ours (numpy, r x lambda)",douban,1,0.045,0.9542,536.3
"Ours (numpy, r x lambda)",douban,2,0.0001,0.9824,421.8
"Ours (numpy, r x lambda)",douban,2,0.0005,0.9824,411.2
"Ours (numpy, r x lambda)",douban,2,0.001,0.9823,416.8
"Ours (numpy, r x lambda)",douban,2,0.005,0.9819,420.4
"Ours (numpy, r x lambda)",douban,2,0.01,0.9809,410.7
"Ours (numpy, r x lambda)",douban,2,0.02,0.9763,418.2
"Ours (numpy, r x lambda)",douban,2,0.03,0.9655,419.8
"Ours (numpy, r x lambda)",douban,2,0.04,0.9464,419.7
"Ours (numpy, r x lambda)",douban,2,0.045,0.9353,415.9
"Ours (numpy, r x lambda)",douban,2,0.05,0.9243,413.7
"Ours (numpy, r x lambda)",douban,3,0.0,0.9777,412.9
"Ours (numpy, r x lambda)",douban,3,0.0001,0.9776,419.3
"Ours (numpy, r x lambda)",douban,3,0.0005,0.9775,418.0
"Ours (numpy, r x lambda)",douban,3,0.001,0.9774,413.7
"Ours (numpy, r x lambda)",douban,3,0.005,0.9755,417.0
"Ours (numpy, r x lambda)",douban,3,0.01,0.9714,416.7
"Ours (numpy, r x lambda)",douban,3,0.02,0.9555,415.1
"Ours (numpy, r x lambda)",douban,3,0.03,0.931,419.7
"Ours (numpy, r x lambda)",douban,3,0.04,0.9074,420.8
"Ours (numpy, r x lambda)",douban,3,0.045,0.8976,418.0
"Ours (numpy, r x lambda)",douban,4,0.0001,0.9612,413.9
